331403.53125,3968689.75
331401.09375,3968689.5
331399.0625,3968688.75
331398.0,3968688.25
331396.09375,3968687.5
331394.5,3968687.75
331393.0,3968689.0
331391.34375,3968690.0
331389.9375,3968690.0
331388.65625,3968689.25


331466.4375, 3968690.0
331462.625, 3968690.25
331461.03125, 3968690.0
331458.0625, 3968690.0
331455.5, 3968690.0
331454.90625, 3968688.75
331454.8125, 3968687.25
331454.8125, 3968685.75



<---CRANK TYPE--->
331400.5625, 3968688.75
331399.15625, 3968688.75
331397.59375, 3968688.75
331396.0, 3968689.0
331395.625, 3968688.
331395.65625, 3968687.0
331395.71875, 3968685.75
331395.78125, 3968684.25
331394.59375, 3968683.75
331393.125, 3968683.75
331391.46875, 3968683.75
331389.53125, 3968683.5
331389.09375, 3968684.0
331388.9375, 3968686.0
331388.75, 3968688.25
331387.5, 3968688.5
331386.125, 3968688.5
331384.90625, 3968688.5
331383.40625, 3968688.5

<---PARALLEL TYPE--->
331400.96875, 3968689.0
331399.875, 3968688.75
331398.5625, 3968688.75
331398.15625, 3968687.75
331398.15625, 3968686.75
331398.1875, 3968685.5
331396.9375, 3968685.0
331396.0625, 3968685.0
331395.59375, 3968685.75
331395.53125, 3968687.0
331395.4375, 3968688.5
331394.625, 3968688.75
331393.4375, 3968688.75
331393.03125, 3968687.5
331393.0625, 3968686.5
331393.125, 3968685.5
331391.8125, 3968685.0
331390.125, 3968684.75
331389.65625, 3968686.0
331389.53125, 3968688.25
331388.625, 3968688.5
331387.1875, 3968688.5

<---SINUSOIDAL TYPE--->
331401.28125, 3968689.0
331399.8125, 3968688.25
331398.4375, 3968687.25
331397.28125, 3968686.75
331396.0, 3968687.0
331395.1875, 3968688.0
331394.71875, 3968689.0
331393.9375, 3968690.0
331392.875, 3968691.0
331391.9375, 3968691.75
331390.8125, 3968691.25
331389.84375, 3968690.25
331389.0, 3968688.75
